"Agriculture, Nutrition, and Forestry"
Appropriations
Armed Services
"Banking, Housing, and Urban Affairs"
Budget
"Commerce, Science, and Transportation"
Energy and Natural Resources
Environment and Public Works
Finance
Foreign Relations
"Health, Education, Labor, and Pensions"
Homeland Security and Governmental Affairs
Indian Affairs
Joint Committee on Printing
Joint Committee on Taxation
Joint Committee on the Library
Joint Economic Committee
Judiciary
Rules and Administration
Select Committee on Ethics
Select Committee on Intelligence
Small Business and Entrepreneurship
Special Committee on Aging
"Veterans' Affairs"