name_long,name,name_committee,party,education,assumed_office,born
Don Young,Don Young,Don Young,Republican,"Yuba College; California State University, Chico; BA",1973,1933-06-09
Eddie Bernice Johnson,Eddie Bernice Johnson,Eddie Bernice Johnson,Democratic,"St Mary's College, Indiana; Texas Christian University; BS; Southern Methodist University; MPA",1993,1935-12-03
Grace Napolitano,Grace Napolitano,Grace Napolitano,Democratic,Cerritos College; Texas Southmost College,1999,1936-12-04
Bill Pascrell,Bill Pascrell,Bill Pascrell,Democratic,Fordham University; BA; MA,1997,1937-01-25
Harold Dallas Rogers,Hal Rogers,Hal Rogers,Republican,Western Kentucky University; BA; University of Kentucky; LLB,1981,1937-12-31
Maxine Waters,Maxine Waters,Maxine Waters,Democratic,"California State University, Los Angeles; BA",1991,1938-08-15
Steny Hoyer,Steny Hoyer,Steny Hoyer,Democratic,"University of Maryland, College Park; BA; Georgetown University; JD",1981,1939-06-14
Nancy Pelosi,Nancy Pelosi,Nancy Pelosi,Democratic,Trinity Washington University; BA,1987,1940-03-26
Jim Clyburn,Jim Clyburn,Jim Clyburn,Democratic,South Carolina State University; BA,1993,1940-07-21
David E. Price,David Price,David Price,Democratic,Mars Hill University; University of North Carolina at Chapel Hill; BA; Yale University; BDiv; PhD,1997,1940-08-17
Alan S. Lowenthal,Alan Lowenthal,Alan Lowenthal,Democratic,Hobart College; BA; Ohio State University; MA; PhD,2013,1941-03-08
Lucille Roybal-Allard,Lucille Roybal-Allard,Lucille Roybal-Allard,Democratic,"California State University, Los Angeles; BA",1993,1941-06-12
Danny K. Davis,Danny K. Davis,Danny K. Davis,Democratic,University of Arkansas at Pine Bluff; BA; Chicago State University; MS; Union Institute & University; PhD,1997,1941-09-06
John Carter,John Carter,John Carter,Republican,Texas Tech University; BA; University of Texas at Austin; JD,2003,1941-11-06
Frederica Wilson,Frederica Wilson,Frederica Wilson,Democratic,Fisk University; BA; University of Miami; MA,2011,1942-11-05
Anna Eshoo,Anna Eshoo,Anna Eshoo,Democratic,Cañada College,1993,1942-12-13
Kay Granger,Kay Granger,Kay Granger,Republican,Texas Wesleyan University; BA,1997,1943-01-18
Rosa DeLauro,Rosa DeLauro,Rosa DeLauro,Democratic,"Marymount College, Tarrytown; BA; London School of Economics; MA; Columbia University; MA",1991,1943-03-02
Virginia Foxx,Virginia Foxx,Virginia Foxx,Republican,University of North Carolina at Chapel Hill; BA; University of North Carolina at Greensboro; MA; EdD,2005,1943-06-29
Jan Schakowsky,Jan Schakowsky,Jan Schakowsky,Democratic,University of Illinois at Urbana–Champaign; BS,1999,1944-05-26
Doris O. Matsui,Doris Matsui,Doris Matsui,Democratic,"University of California, Berkeley; BA",2005,1944-09-25
Emanuel Cleaver,Emanuel Cleaver,Emanuel Cleaver,Democratic,Prairie View A&M University; BS; Saint Paul School of Theology; MDiv,2005,1944-10-26
John Garamendi,John Garamendi,John Garamendi,Democratic,"University of California, Berkeley; BA; Harvard University; MBA",2009,1945-01-24
Bonnie Watson Coleman,Bonnie Watson Coleman,Bonnie Watson Coleman,Democratic,Rutgers University; Thomas Edison State University; BA,2015,1945-02-06
Jim Baird,Jim Baird,Jim Baird,Republican,"Purdue University, West Lafayette; BS; MS; University of Kentucky; PhD",2019,1945-06-04
David Scott,David Scott,David Scott,Democratic,Florida A&M University; BA; University of Pennsylvania; MBA,2003,1945-06-27
Tom O'Halleran,Tom O'Halleran,Tom O'Halleran,Democratic,Lewis University; DePaul University,2017,1946-01-24
Dutch Ruppersberger,Dutch Ruppersberger,Dutch Ruppersberger,Democratic,"Baltimore City College; University of Maryland, College Park; BA; University of Baltimore; JD",2003,1946-01-31
Carolyn Maloney,Carolyn Maloney,Carolyn Maloney,Democratic,Greensboro College; BA,1993,1946-02-19
Alma Adams,Alma Adams,Alma Adams,Democratic,North Carolina A&T State University; BS; MS; Ohio State University; PhD,2014,1946-05-27
Marcy Kaptur,Marcy Kaptur,Marcy Kaptur,Democratic,University of Wisconsin–Madison; BA; University of Michigan; MUP; Massachusetts Institute of Technology,1983,1946-06-17
Barbara Lee,Barbara Lee,Barbara Lee,Democratic,"Mills College; BA; University of California, Berkeley; MSW",1998,1946-07-16
Lloyd Doggett,Lloyd Doggett,Lloyd Doggett,Democratic,University of Texas at Austin; BA; JD,1995,1946-10-06
Bobby Rush,Bobby Rush,Bobby Rush,Democratic,Roosevelt University; BGS; University of Illinois at Chicago; MA; McCormick Theological Seminary; MA,1993,1946-11-23
Jack Bergman,Jack Bergman,Jack Bergman,Republican,Gustavus Adolphus College; BA; University of West Florida; MBA,2017,1947-02-02
Sanford Bishop,Sanford Bishop,Sanford Bishop,Democratic,Morehouse College; BA; Emory University; JD,1993,1947-02-04
David B. McKinley,David McKinley,David McKinley,Republican,Purdue University; BS,2011,1947-03-28
G. K. Butterfield,G. K. Butterfield,G. K. Butterfield,Democratic,North Carolina Central University; BA; JD,2004,1947-04-27
"Robert C. ""Bobby"" Scott",Bobby Scott,Bobby Scott,Democratic,Harvard University; BA; Boston College; JD,1993,1947-04-30
Peter Welch,Peter Welch,Peter Welch,Democratic,"College of the Holy Cross; BA; University of California, Berkeley; JD",2007,1947-05-02
Peter DeFazio,Peter DeFazio,Peter DeFazio,Democratic,Tufts University; BA; University of Oregon; MA,1987,1947-05-27
Jerry Nadler,Jerry Nadler,Jerry Nadler,Democratic,Columbia University; BA; Fordham University; JD,1992,1947-06-13
Joe Wilson,Joe Wilson,Joe Wilson,Republican,Washington and Lee University; BA; University of South Carolina; JD,2001,1947-07-31
Al Green,Al Green,Al Green,Democratic,Florida A&M University; Tuskeegee University; BA; Texas Southern University; JD,2005,1947-09-01
John A. Yarmuth,John Yarmuth,John Yarmuth,Democratic,Yale University; BA; Georgetown University,2007,1947-11-04
Bill Posey,Bill Posey,Bill Posey,Republican,Eastern Florida State College,2009,1947-12-18
Zoe Lofgren,Zoe Lofgren,Zoe Lofgren,Democratic,Stanford University; BA; Santa Clara University; JD,1995,1947-12-21
Bennie Thompson,Bennie Thompson,Bennie Thompson,Democratic,Tougaloo College; BA; Jackson State University; MS,1993,1948-01-28
Raúl Grijalva,Raúl Grijalva,Raúl Grijalva,Democratic,University of Arizona; BA,2003,1948-02-19
Brian Babin,Brian Babin,Brian Babin,Republican,"Lamar University; BS; University of Texas, Houston; DDS",2015,1948-03-23
Mike Kelly,Mike Kelly,Mike Kelly,Republican,University of Notre Dame; BA,2011,1948-05-10
Lois Frankel,Lois Frankel,Lois Frankel,Democratic,Boston University; BA; Georgetown University; JD,2013,1948-05-16
John B. Larson,John B. Larson,John B. Larson,Democratic,Central Connecticut State University; BA,1999,1948-07-22
Earl Blumenauer,Earl Blumenauer,Earl Blumenauer,Democratic,Lewis & Clark College; BA; JD,1996,1948-08-16
Al Lawson,Al Lawson,Al Lawson,Democratic,Florida A&M University; BA; Florida State University; MPA,2017,1948-09-23
Kweisi Mfume,Kweisi Mfume,Kweisi Mfume,Democratic,Baltimore City Community College; Morgan State University; BA; Johns Hopkins University; MA,2020,1948-10-24
Richard Neal,Richard Neal,Richard Neal,Democratic,Holyoke Community College; American International College; BA; University of Hartford; MA,1989,1949-02-14
Daniel Webster,Daniel Webster,Daniel Webster,Republican,Georgia Institute of Technology; BS,2011,1949-04-27
Tom Cole,Tom Cole,Tom Cole,Republican,Grinnell College; BA; Yale University; MA; University of Oklahoma; PhD,2003,1949-04-28
Steve Cohen,Steve Cohen,Steve Cohen,Democratic,Vanderbilt University; BA; University of Memphis; JD,2007,1949-05-24
Paul Tonko,Paul Tonko,Paul Tonko,Democratic,Clarkson University; BS,2009,1949-06-18
Roger Williams,Roger Williams,Roger Williams,Republican,Texas Christian University; BA,2013,1949-09-13
Sheila Jackson Lee,Sheila Jackson Lee,Sheila Jackson Lee,Democratic,Yale University; BA; University of Virginia; JD,1995,1950-01-12
Joyce Beatty,Joyce Beatty,Joyce Beatty,Democratic,Central State University; BA; Wright State University; MS; University of Cincinnati,2013,1950-03-12
Ann Kirkpatrick,Ann Kirkpatrick,Ann Kirkpatrick,Democratic,University of Arizona; BA; JD,2019,1950-03-24
Gerald E. Connolly,Gerry Connolly,Gerry Connolly,Democratic,"Glen Ellyn, Illinois; [88]; BA; Harvard University; MPA",2009,1950-03-30
Jackie Speier,Jackie Speier,Jackie Speier,Democratic,"University of California, Davis; BA; University of California, Hastings; JD",2008,1950-05-14
Dina Titus,Dina Titus,Dina Titus,Democratic,College of William & Mary; BA; University of Georgia; MA; Florida State University; PhD,2013,1950-05-23
Donald Sternoff Beyer,Don Beyer,Don Beyer,Democratic,Williams College; BA,2015,1950-06-20
Sylvia Garcia,Sylvia Garcia,Sylvia Garcia,Democratic,Texas Woman's University; BA; Texas Southern University; JD,2019,1950-09-06
Michael K. Simpson,Mike Simpson,Mike Simpson,Republican,Utah State University; BS; Washington University in St. Louis; DMD,1999,1950-09-08
Carol Devine Miller,Carol Miller,Carol Miller,Republican,"Columbia College, South Carolina; BA",2019,1950-11-04
Michael C. Burgess,Michael C. Burgess,Michael C. Burgess,Republican,"University of North Texas; BS; MS; University of Texas, Houston; MD; University of Texas at Dallas; MS",2003,1950-12-23
Mike Thompson,Mike Thompson,Mike Thompson,Democratic,"Napa Valley College; California State University, Chico; BA; MPA",1999,1951-01-24
Albio Sires,Albio Sires,Albio Sires,Democratic,Saint Peter's University; BA; Middlebury College; MA,2006,1951-01-26
Tim Walberg,Tim Walberg,Tim Walberg,Republican,"Western Illinois University; Moody Bible Institute; Taylor University; BA; Wheaton College, Illinois; MA",2011,1951-04-12
Gwen Moore,Gwen Moore,Gwen Moore,Democratic,Marquette University; BA,2005,1951-04-18
Vern Buchanan,Vern Buchanan,Vern Buchanan,Republican,Cleary University; BA; University of Detroit Mercy; MBA,2007,1951-05-08
Jerry McNerney,Jerry McNerney,Jerry McNerney,Democratic,United States Military Academy; University of New Mexico; BS; MS; PhD,2007,1951-06-18
Burgess Owens,Burgess Owens,Burgess Owens,Republican,University of Miami; BS,2021,1951-08-02
Kurt Schrader,Kurt Schrader,Kurt Schrader,Democratic,Cornell University; BA; University of Illinois at Urbana–Champaign; BS; DVM,2009,1951-10-19
Frank Pallone,Frank Pallone,Frank Pallone,Democratic,Middlebury College; BA; Tufts University; MA; Rutgers University–Camden; JD,1988,1951-10-30
Richard W. Allen,Rick W. Allen,Rick W. Allen,Republican,Auburn University; BS,2015,1951-11-07
Cliff Bentz,Cliff Bentz,Cliff Bentz,Republican,Eastern Oregon University; BA; Lewis and Clark College; JD,2021,1952-01-12
Mark DeSaulnier,Mark DeSaulnier,Mark DeSaulnier,Democratic,College of the Holy Cross; BA,2015,1952-03-31
Jim Costa,Jim Costa,Jim Costa,Democratic,"California State University, Fresno; BA",2005,1952-04-13
Blaine Luetkemeyer,Blaine Luetkemeyer,Blaine Luetkemeyer,Republican,"Lincoln University, Missouri; BA",2009,1952-05-07
Julia Brownley,Julia Brownley,Julia Brownley,Democratic,George Washington University; BA; American University; MBA,2013,1952-08-28
John Rutherford,John Rutherford,John Rutherford,Republican,Florida State College; Florida State University; BS,2017,1952-09-02
Bill Keating,Bill Keating,Bill Keating,Democratic,Boston College; BA; MBA; Suffolk University; JD,2011,1952-09-06
Ed Case,Ed Case,Ed Case,Democratic,"Williams College; BA; University of California, Hastings; JD",2019,1952-09-27
Steve Chabot,Steve Chabot,Steve Chabot,Republican,College of William & Mary; BA; Northern Kentucky University; JD,2011,1953-01-22
Neal Dunn,Neal Dunn,Neal Dunn,Republican,Washington and Lee University; BS; George Washington University; MD,2017,1953-02-16
Jeff Van Drew,Jeff Van Drew,Jeff Van Drew,Republican,"Rutgers University, New Brunswick; BS; Fairleigh Dickinson University; DMD",2019,1953-02-23
Chris Smith,Chris Smith,Chris Smith,Republican,The College of New Jersey; BS,1981,1953-03-04
Nydia Velázquez,Nydia Velázquez,Nydia Velázquez,Democratic,"University of Puerto Rico, Río Piedras; BA; New York University; MA",1993,1953-03-28
Joe Courtney,Joe Courtney,Joe Courtney,Democratic,Tufts University; BA; University of Connecticut; JD,2007,1953-04-06
Fred Upton,Fred Upton,Fred Upton,Republican,University of Michigan; BA,1987,1953-04-23
Ed Perlmutter,Ed Perlmutter,Ed Perlmutter,Democratic,University of Colorado Boulder; BA; JD,2007,1953-05-01
Ken Calvert,Ken Calvert,Ken Calvert,Republican,Chaffey College; San Diego State University; BA,1993,1953-06-08
Ralph Norman,Ralph Norman,Ralph Norman,Republican,Presbyterian College; BS,2017,1953-06-20
Randy Weber,Randy Weber,Randy Weber,Republican,Alvin Community College; University of Houston–Clear Lake; BS,2013,1953-07-02
Judy Chu,Judy Chu,Judy Chu,Democratic,"University of California, Los Angeles; BA; Alliant International University; MA; PhD",2009,1953-07-07
Mike Doyle,Mike Doyle,Mike Doyle,Democratic,Pennsylvania State University; BS,1995,1953-08-05
Louie Gohmert,Louie Gohmert,Louie Gohmert,Republican,Texas A&M University; BA; Baylor University; JD,2005,1953-08-18
Gregory Meeks,Gregory Meeks,Gregory Meeks,Democratic,Adelphi University; BA; Howard University; JD,1998,1953-09-25
Karen Bass,Karen Bass,Karen Bass,Democratic,"San Diego State University; California State University, Dominguez Hills; BS",2011,1953-10-03
Darrell Issa,Darrell Issa,Darrell Issa,Republican,Siena Heights University; BA,2021,1953-11-01
Debbie Dingell,Debbie Dingell,Debbie Dingell,Democratic,Georgetown University; BS; MS,2015,1953-11-23
Carlos Giménez,Carlos Giménez,Carlos Giménez,Republican,Barry University; BPA,2021,1954-01-17
Mo Brooks,Mo Brooks,Mo Brooks,Republican,Duke University; BA; University of Alabama; JD,2011,1954-04-29
Gary Palmer,Gary Palmer,Gary Palmer,Republican,University of Alabama; BS,2015,1954-05-14
Dwight Evans,Dwight Evans,Dwight Evans,Democratic,Community College of Philadelphia; AA; La Salle University; BA,2016,1954-05-16
Doug Lamborn,Doug Lamborn,Doug Lamborn,Republican,University of Kansas; BS; JD,2007,1954-05-24
Bob Gibbs,Bob Gibbs,Bob Gibbs,Republican,"Ohio State University, Wooster",2011,1954-06-14
Jim Cooper,Jim Cooper,Jim Cooper,Democratic,"University of North Carolina at Chapel Hill; BA; Oriel College, Oxford; MA; Harvard University; JD",2003,1954-06-19
Betty McCollum,Betty McCollum,Betty McCollum,Democratic,St. Catherine University; BA,2001,1954-07-12
Adriano Espaillat,Adriano Espaillat,Adriano Espaillat,Democratic,"Queens College, City University of New York; BA",2017,1954-09-27
Hank Johnson,Hank Johnson,Hank Johnson,Democratic,Clark Atlanta University; BA; Texas Southern University; JD,2007,1954-10-02
Suzanne Bonamici,Suzanne Bonamici,Suzanne Bonamici,Democratic,Lane Community College; University of Oregon; BA; JD,2012,1954-10-14
Brenda Lawrence,Brenda Lawrence,Brenda Lawrence,Democratic,University of Detroit Mercy; Central Michigan University; BA,2015,1954-10-18
Brad Sherman,Brad Sherman,Brad Sherman,Democratic,"University of California, Los Angeles; BA; Harvard University; JD",1997,1954-10-24
Bill Johnson,Bill Johnson,Bill Johnson,Republican,Troy University; BS; Georgia Institute of Technology; MS,2011,1954-11-10
Pete Sessions,Pete Sessions,Pete Sessions,Republican,Southwestern University; BS,2021,1955-03-22
Stephen F. Lynch,Stephen F. Lynch,Stephen F. Lynch,Democratic,Wentworth Institute of Technology; BS; Boston College; JD; Harvard University; MPA,2001,1955-03-31
Chellie Pingree,Chellie Pingree,Chellie Pingree,Democratic,University of Southern Maine; College of the Atlantic; BS,2009,1955-04-02
Kevin Brady,Kevin Brady,Kevin Brady,Republican,University of South Dakota; BA,1997,1955-04-11
Michelle Steel,Michelle Steel,Michelle Steel,Republican,Pepperdine University; BA; University of Southern California; MBA,2021,1955-06-21
Glenn Grothman,Glenn Grothman,Glenn Grothman,Republican,University of Wisconsin–Madison; BA; JD,2015,1955-07-03
Dan Newhouse,Dan Newhouse,Dan Newhouse,Republican,Washington State University; BS,2015,1955-07-10
Billy Long,Billy Long,Billy Long,Republican,University of Missouri,2011,1955-08-11
Mariannette Miller-Meeks,Mariannette Miller-Meeks,Mariannette Miller-Meeks,Republican,"Texas Christian University; BS; University of Southern California; MS; University of Texas, San Antonio; MD",2021,1955-09-06
Henry Cuellar,Henry Cuellar,Henry Cuellar,Democratic,Laredo Community College; Georgetown University; BA; University of Texas at Austin; JD; PhD; Texas A&M International University; MA,2005,1955-09-19
David Trone,David Trone,David Trone,Democratic,Furman University; BA; University of Pennsylvania; MBA,2019,1955-09-21
Bill Foster,Bill Foster,Bill Foster,Democratic,University of Wisconsin–Madison; BS; Harvard University; MS; PhD,2013,1955-10-07
"Jesús ""Chuy"" García","Jesús ""Chuy"" García","Jesús ""Chuy"" García",Democratic,"University of Illinois, Chicago; BA; MUP",2019,1956-04-12
Robert E. Latta,Bob Latta,Bob Latta,Republican,Bowling Green State University; BA; University of Toledo; JD,2007,1956-04-18
Robin Kelly,Robin Kelly,Robin Kelly,Democratic,Bradley University; BA; MA; Northern Illinois University; PhD,2013,1956-04-30
Tom McClintock,Tom McClintock,Tom McClintock,Republican,"University of California, Los Angeles; BA",2009,1956-07-10
Ron Estes,Ron Estes,Ron Estes,Republican,Tennessee Technological University; BS; MBA,2017,1956-07-19
Charlie Crist,Charlie Crist,Charlie Crist,Democratic,Wake Forest University; Florida State University; BA; Samford University; JD,2017,1956-07-24
Ann McLane Kuster,Ann McLane Kuster,Ann McLane Kuster,Democratic,Dartmouth College; BA; Georgetown University; JD,2013,1956-09-05
Greg Pence,Greg Pence,Greg Pence,Republican,Loyola University Chicago; BA; MBA,2019,1956-11-14
Kathy Manning,Kathy Manning,Kathy Manning,Democratic,Harvard University; AB; University of Michigan; JD,2021,1956-12-03
James French Hill,James French Hill,James French Hill,Republican,Vanderbilt University; BS,2015,1956-12-05
Andy Harris,Andy Harris,Andy Harris,Republican,Johns Hopkins University; BS; MD; MHS,2011,1957-01-25
John Joyce,John Joyce,John Joyce,Republican,"Pennsylvania State University, Altoona; Pennsylvania State University, University Park; BS; Temple University; MD",2019,1957-02-08
Steve Womack,Steve Womack,Steve Womack,Republican,Arkansas Tech University; BA,2011,1957-02-18
Val Demings,Val Demings,Val Demings,Democratic,Florida State University; BS,2017,1957-03-12
David Joyce,David Joyce,David Joyce,Republican,University of Dayton; BS; JD,2013,1957-03-17
Joseph D. Morelle,Joseph Morelle,Joe Morelle,Democratic,State University of New York at Geneseo; BA,2018,1957-04-29
Susan Wild,Susan Wild,Susan Wild,Democratic,American University; BA; George Washington University; JD,2018,1957-06-07
Diana DeGette,Diana DeGette,Diana DeGette,Democratic,Colorado College; BA; New York University; JD,1997,1957-07-29
Tom Rice,Tom Rice,Tom Rice,Republican,University of South Carolina; BS; MA; JD,2013,1957-08-04
Buddy Carter,Buddy Carter,Buddy Carter,Republican,Young Harris College; University of Georgia; BS,2015,1957-09-06
Tom Tiffany,Tom Tiffany,Tom Tiffany,Republican,University of Wisconsin–River Falls; BS,2020,1957-12-30
Lou Correa,Lou Correa,Lou Correa,Democratic,"California State University, Fullerton; BA; University of California, Los Angeles; JD; MBA",2017,1958-01-24
Morgan Griffith,Morgan Griffith,Morgan Griffith,Republican,Emory and Henry College; BA; Washington and Lee University; JD,2011,1958-03-15
Mark Amodei,Mark Amodei,Mark Amodei,Republican,"University of Nevada, Reno; BA; University of the Pacific; JD",2011,1958-06-12
Jerry Carl,Jerry Carl,Jerry Carl,Republican,Florida Gateway College,2021,1958-06-17
Scott H. Peters,Scott Peters,Scott Peters,Democratic,Duke University; BA; New York University; JD,2013,1958-06-17
Brad Wenstrup,Brad Wenstrup,Brad Wenstrup,Republican,University of Cincinnati; BA; Rosalind Franklin University; BS; DPM,2013,1958-06-17
Mike Rogers,Mike Rogers,Mike Rogers,Republican,Jacksonville State University; BA; MPA; Birmingham School of Law; JD,2003,1958-07-16
Dan Kildee,Dan Kildee,Dan Kildee,Democratic,University of Michigan–Flint; Central Michigan University; BS,2013,1958-08-11
Mike Quigley,Mike Quigley,Mike Quigley,Democratic,Roosevelt University; BA; University of Chicago; MPP; Loyola University Chicago; JD,2009,1958-10-17
Andy Biggs,Andy Biggs,Andy Biggs,Republican,"Brigham Young University; BA; University of Arizona; JD; Arizona State University, Phoenix; MA",2017,1958-11-07
Debbie Lesko,Debbie Lesko,Debbie Lesko,Republican,University of Wisconsin–Madison; BA,2018,1958-11-14
Paul Gosar,Paul Gosar,Paul Gosar,Republican,Creighton University; BS; DDS,2011,1958-11-27
Donald Norcross,Donald Norcross,Donald Norcross,Democratic,Camden County College,2014,1958-12-13
Donald Payne Jr.,Donald Payne Jr.,Donald Payne Jr.,Democratic,Kean University,2012,1958-12-17
Robert J. Wittman,Rob Wittman,Rob Wittman,Republican,Virginia Tech; BS; University of North Carolina at Chapel Hill; MPH; Virginia Commonwealth University; PhD,2007,1959-02-03
Ken Buck,Ken Buck,Ken Buck,Republican,Princeton University; BA; University of Wyoming; JD,2015,1959-02-16
Madeleine Dean,Madeleine Dean,Madeleine Dean,Democratic,La Salle University; BA; Widener University; JD,2019,1959-06-06
Teresa Leger Fernandez,Teresa Leger Fernandez,Teresa Leger Fernandez,Democratic,Yale University; BA; Stanford University; JD,2021,1959-07-01
Glenn Thompson,Glenn Thompson,Glenn Thompson,Republican,Pennsylvania State University; BS; Temple University; MEd,2009,1959-07-27
Mary Miller,Mary Miller,Mary Miller,Republican,Eastern Illinois University; BA; BS,2021,1959-08-27
Mary Gay Scanlon,Mary Gay Scanlon,Mary Gay Scanlon,Democratic,Colgate University; BA; University of Pennsylvania; JD,2018,1959-08-30
Brian Higgins,Brian Higgins,Brian Higgins,Democratic,Buffalo State College; BA; MA; Harvard University; MPA,2005,1959-10-06
Jim McGovern,Jim McGovern,Jim McGovern,Democratic,American University; BA; MPA,1997,1959-11-20
Diana Harshbarger,Diana Harshbarger,Diana Harshbarger,Republican,East Tennessee State University; BS; Mercer University; PharmD,2021,1960-01-01
Frank Lucas,Frank Lucas,Frank Lucas,Republican,Oklahoma State University–Stillwater; BS,1994,1960-01-06
Mike Turner,Mike Turner,Mike Turner,Republican,Ohio Northern University; BA; Case Western Reserve University; JD; University of Dayton; MBA,2003,1960-01-11
Jody Hice,Jody Hice,Jody Hice,Republican,Asbury University; BA; Southwestern Baptist Theological Seminary; MDiv; Luther Rice College and Seminary; DMin,2015,1960-04-22
John Curtis,John Curtis,John Curtis,Republican,Brigham Young University; BS,2017,1960-05-10
Lucy McBath,Lucy McBath,Lucy McBath,Democratic,Virginia State University; BA,2019,1960-06-01
Adam Schiff,Adam Schiff,Adam Schiff,Democratic,Stanford University; BA; Harvard University; JD,2001,1960-06-22
Doug LaMalfa,Doug LaMalfa,Doug LaMalfa,Republican,Butte College; California Polytechnic State University; BS,2013,1960-07-02
Matt Rosendale,Matt Rosendale,Matt Rosendale,Republican,,2021,1960-07-07
Chris Stewart,Chris Stewart,Chris Stewart,Republican,Utah State University; BA,2013,1960-07-15
Andy Levin,Andy Levin,Andy Levin,Democratic,"Williams College; BA; University of Michigan, Ann Arbor; MA; Harvard University; JD",2019,1960-08-10
Vicky Hartzler,Vicky Hartzler,Vicky Hartzler,Republican,University of Missouri; BS; University of Central Missouri; MS,2011,1960-10-13
Mark Takano,Mark Takano,Mark Takano,Democratic,"Harvard University; BA; University of California, Riverside; MFA",2013,1960-12-10
Jeff Fortenberry,Jeff Fortenberry,Jeff Fortenberry,Republican,Louisiana State University; BA; Georgetown University; MPP; Franciscan University; ThM,2005,1960-12-27
Mike Bost,Mike Bost,Mike Bost,Republican,,2015,1960-12-30
Claudia Tenney,Claudia Tenney,Claudia Tenney,Republican,Colgate University; BA; University of Cincinnati; JD,2021,1961-02-04
Tom Emmer,Tom Emmer,Tom Emmer,Republican,Boston College; University of Alaska Fairbanks; BA; William Mitchell College of Law; JD,2015,1961-03-03
Juan Vargas,Juan Vargas,Juan Vargas,Democratic,University of San Diego; BA; Fordham University; MA; Harvard University; JD,2013,1961-03-07
Matt Cartwright,Matt Cartwright,Matt Cartwright,Democratic,"Hamilton College, New York; BA; University of Pennsylvania; JD",2013,1961-05-01
John Moolenaar,John Moolenaar,John Moolenaar,Republican,Hope College; BS; Harvard University; MPA,2015,1961-05-08
David Cicilline,David Cicilline,David Cicilline,Democratic,Brown University; BA; Georgetown University; JD,2011,1961-07-15
Bradley S. Schneider,Brad Schneider,Brad Schneider,Democratic,Northwestern University; BS; MBA,2017,1961-08-20
Clay Higgins,Clay Higgins,Clay Higgins,Republican,Louisiana State University,2017,1961-08-24
Mario Díaz-Balart,Mario Díaz-Balart,Mario Díaz-Balart,Republican,University of South Florida; BA,2003,1961-09-25
Donald McEachin,Donald McEachin,Donald McEachin,Democratic,American University; BA; University of Virginia; JD; Virginia Union University; MDiv,2017,1961-10-10
Cheri Bustos,Cheri Bustos,Cheri Bustos,Democratic,"University of Maryland, College Park; BA; University of Illinois, Springfield; MA",2013,1961-10-17
Maria Elvira Salazar,Maria Elvira Salazar,Maria Elvira Salazar,Republican,Miami Dade College; University of Miami; BA; Harvard University; MPA,2021,1961-11-01
Anthony G. Brown,Anthony G. Brown,Anthony G. Brown,Democratic,Harvard University; BA; JD,2017,1961-11-21
Kevin Hern,Kevin Hern,Kevin Hern,Republican,"Arkansas Tech University; BS; Georgia Institute of Technology; University of Arkansas, Little Rock; MBA",2018,1961-12-04
Michael McCaul,Michael McCaul,Michael McCaul,Republican,"Trinity University; BA; St. Mary's University, Texas; JD",2005,1962-01-14
Troy Balderson,Troy Balderson,Troy Balderson,Republican,Muskingum University; Ohio State University,2018,1962-01-16
Lisa Blunt Rochester,Lisa Blunt Rochester,Lisa Blunt Rochester,Democratic,Fairleigh Dickinson University; BA; University of Delaware; MA,2017,1962-02-10
Suzan K. DelBene,Suzan DelBene,Suzan DelBene,Democratic,Reed College; BS; University of Washington; MBA,2012,1962-02-17
David Schweikert,David Schweikert,David Schweikert,Republican,"Arizona State University, Tempe; BS; MBA",2011,1962-03-03
Russ Fulcher,Russ Fulcher,Russ Fulcher,Republican,Boise State University; BA; MBA,2019,1962-03-09
John Sarbanes,John Sarbanes,John Sarbanes,Democratic,Princeton University; BA; Harvard University; JD,2007,1962-05-22
