name_long,name,name_committee,party,education,assumed_office,born
Scott Perry,Scott Perry,Scott Perry,Republican,Pennsylvania State University; BS; United States Army War College; MS,2013,1962-05-27
Larry Bucshon,Larry Bucshon,Larry Bucshon,Republican,University of Illinois at Urbana–Champaign; BS; University of Illinois at Chicago; MD,2011,1962-05-31
James Hagedorn,Jim Hagedorn,Jim Hagedorn,Republican,George Mason University; BA,2019,1962-08-04
Thomas Suozzi,Thomas Suozzi,Tom Suozzi,Democratic,Boston College; BA; Fordham University; JD,2017,1962-08-31
Ann Wagner,Ann Wagner,Ann Wagner,Republican,University of Missouri; BS,2013,1962-09-13
Marilyn Strickland,Marilyn Strickland,Marilyn Strickland,Democratic,University of Washington; BA; Clark Atlanta University; MBA,2021,1962-09-25
"Charles J. ""Chuck"" Fleischmann",Chuck Fleischmann,Chuck Fleischmann,Republican,University of Illinois at Urbana–Champaign; BA; University of Tennessee; JD,2011,1962-10-11
Young Kim,Young Kim,Young Kim,Republican,University of Southern California; BBA,2021,1962-10-18
John Katko,John Katko,John Katko,Republican,Niagara University; BA; Syracuse University; JD,2015,1962-11-09
Jamie Raskin,Jamie Raskin,Jamie Raskin,Democratic,Harvard University; BA; JD,2017,1962-12-13
Gus M. Bilirakis,Gus Bilirakis,Gus Bilirakis,Republican,St. Petersburg College; University of Florida; BA; Stetson University; JD,2007,1963-02-08
Filemon Vela Jr.,Filemon Vela Jr.,Filemon Vela Jr.,Democratic,Georgetown University; BA; University of Texas at Austin; JD,2013,1963-02-13
Greg Murphy,Greg Murphy,Greg Murphy,Republican,Davidson College; BA; University of North Carolina at Chapel Hill; MD,2019,1963-03-05
Ron Kind,Ron Kind,Ron Kind,Democratic,Harvard University; BA; London School of Economics; MA; University of Minnesota; JD,1997,1963-03-16
Tony Cárdenas,Tony Cárdenas,Tony Cárdenas,Democratic,"University of California, Santa Barbara; BS",2013,1963-03-31
Deborah Ross,Deborah Ross,Deborah K. Ross,Democratic,Brown University; AB; University of North Carolina at Chapel Hill; JD,2021,1963-06-20
Katherine M. Clark,Katherine Clark,Katherine Clark,Democratic,St. Lawrence University; BA; Cornell University; JD; Harvard University; MPA,2013,1963-07-17
Don Bacon,Don Bacon,Don Bacon,Republican,Northern Illinois University; BA; University of Phoenix; MBA; National Defense University; MA,2017,1963-08-16
Jackie Walorski,Jackie Walorski,Jackie Walorski,Republican,Liberty University; Taylor University; BA,2013,1963-08-17
Troy Carter,Troy Carter,Troy Carter,Democratic,Xavier University of Louisiana; BA,2021,1963-10-26
Sam Graves,Sam Graves,Sam Graves,Republican,University of Missouri; BS,2001,1963-11-07
Scott Fitzgerald,Scott Fitzgerald,Scott L. Fitzgerald,Republican,University of Wisconsin–Oshkosh; BS,2021,1963-11-16
Andrew Clyde,Andrew Clyde,Andrew Clyde,Republican,University of Notre Dame; BA; Bethel University; BBA; University of Georgia; MBA,2021,1963-11-22
Barry Loudermilk,Barry Loudermilk,Barry Loudermilk,Republican,Air University; Wayland Baptist University; BS,2015,1963-12-22
Lloyd K. Smucker,Lloyd Smucker,Lloyd Smucker,Republican,Lebanon Valley College; Franklin and Marshall College,2017,1964-01-23
Dan Meuser,Dan Meuser,Dan Meuser,Republican,State University of New York Maritime College; Cornell University; BA,2019,1964-02-10
Jim Jordan,Jim Jordan,Jim Jordan,Republican,University of Wisconsin–Madison; BS; Ohio State University; MA; Capital University; JD,2007,1964-02-17
Jared Huffman,Jared Huffman,Jared Huffman,Democratic,"University of California, Santa Barbara; BA; Boston College; JD",2013,1964-02-18
Brett Guthrie,Brett Guthrie,Brett Guthrie,Republican,United States Military Academy; BS; Yale University; MBA,2009,1964-02-18
Scott DesJarlais,Scott DesJarlais,Scott DesJarlais,Republican,University of South Dakota; BS; MD,2011,1964-02-21
Yvette Herrell,Yvette Herrell,Yvette Herrell,Republican,ITT Technical Institute; GrCert,2021,1964-03-16
Marie Newman,Marie Newman,Marie Newman,Democratic,University of Wisconsin–Madison; BA,2021,1964-04-13
James R. Langevin,James Langevin,James R. Langevin,Democratic,Rhode Island College; BA; Harvard University; MPA,2001,1964-04-22
Dan Bishop,Dan Bishop,Dan Bishop,Republican,University of North Carolina at Chapel Hill; BS; JD,2019,1964-07-01
Mark Pocan,Mark Pocan,Mark Pocan,Democratic,University of Wisconsin–Madison; BA,2013,1964-08-14
Scott Franklin,Scott Franklin,Scott Franklin,Republican,United States Naval Academy; BA; Embry–Riddle Aeronautical University; MBA,2021,1964-08-23
Tim Burchett,Tim Burchett,Tim Burchett,Republican,"University of Tennessee,Knoxville; BS",2019,1964-08-25
Mark E. Green,Mark E. Green,Mark E. Green,Republican,United States Military Academy; BS; University of Southern California; MA; Wright State University; MD,2019,1964-11-08
Salud Carbajal,Salud Carbajal,Salud Carbajal,Democratic,"University of California, Santa Barbara; BA; Fielding Graduate University; MA",2017,1964-11-18
Yvette Clarke,Yvette Clarke,Yvette Clarke,Democratic,Oberlin College; Medgar Evers College,2007,1964-11-21
Terri Sewell,Terri Sewell,Terri Sewell,Democratic,"Princeton University; BA; St Hilda's College, Oxford; MA; Harvard University; JD",2011,1965-01-01
Kevin McCarthy,Kevin McCarthy,Kevin McCarthy,Republican,"California State University, Bakersfield; BS; MBA",2007,1965-01-26
Kathleen Rice,Kathleen Rice,Kathleen Rice,Democratic,Catholic University of America; BA; Touro College; JD,2015,1965-02-15
John Rose,John Rose,John Rose,Republican,"Tennessee Technological University; BS; Purdue University, West Lafayette; MS; Vanderbilt University; JD",2019,1965-02-23
Ami Bera,Ami Bera,Ami Bera,Democratic,"University of California, Irvine; BS; MD",2013,1965-03-02
Norma Torres,Norma Torres,Norma Torres,Democratic,National Labor College; BA,2015,1965-04-04
Cindy Axne,Cindy Axne,Cindy Axne,Democratic,University of Iowa; BA; Northwestern University; MBA,2019,1965-04-20
Rick Larsen,Rick Larsen,Rick Larsen,Democratic,Pacific Lutheran University; BA; University of Minnesota; MPA,2001,1965-06-15
Adam Smith,Adam Smith,Adam Smith,Democratic,Western Washington University; Fordham University; BA; University of Washington; JD,1997,1965-06-15
Robert Aderholt,Robert Aderholt,Robert Aderholt,Republican,University of North Alabama; Birmingham–Southern College; BA; Samford University; JD,1997,1965-07-22
Bob Good,Bob Good,Bob Good,Republican,Liberty University; BS; MBA,2021,1965-09-11
Pramila Jayapal,Pramila Jayapal,Pramila Jayapal,Democratic,Georgetown University; BA; Northwestern University; MBA,2017,1965-09-21
Steve Scalise,Steve Scalise,Steve Scalise,Republican,Louisiana State University; BS,2008,1965-10-06
Tom Malinowski,Tom Malinowski,Tom Malinowski,Democratic,"University of California, Berkeley; BA; St Antony's College, Oxford; MPhil",2019,1965-10-23
Fred Keller,Fred Keller,Fred Keller,Republican,,2019,1965-10-23
Michelle Fischbach,Michelle Fischbach,Michelle Fischbach,Republican,St. Cloud State University; BA; William Mitchell College of Law; JD,2021,1965-11-03
Jeff Duncan,Jeff Duncan,Jeff Duncan,Republican,Clemson University; BA,2011,1966-01-07
Rick Crawford,Rick Crawford,Rick Crawford,Republican,Arkansas State University; BS,2011,1966-01-22
Trent Kelly,Trent Kelly,Trent Kelly,Republican,East Central Community College; University of Mississippi; BA; JD; United States Army War College; MA,2015,1966-03-01
Lisa McClain,Lisa McClain,Lisa McClain,Republican,Lansing Community College; Northwood University; BA,2021,1966-04-07
Ted Deutch,Ted Deutch,Ted Deutch,Democratic,University of Michigan; BA; JD,2010,1966-05-07
Pete Stauber,Pete Stauber,Pete Stauber,Republican,Lake Superior State University; BA,2019,1966-05-10
Jim Himes,Jim Himes,Jim Himes,Democratic,"Harvard University; BA; St Edmund Hall, Oxford; MPhil",2009,1966-07-05
Liz Cheney,Liz Cheney,Liz Cheney,Republican,Colorado College; BA; University of Chicago; JD,2017,1966-07-28
Sean Patrick Maloney,Sean Patrick Maloney,Sean Patrick Maloney,Democratic,Georgetown University; University of Virginia; BA; JD,2013,1966-07-30
Kathy Castor,Kathy Castor,Kathy Castor,Democratic,Emory University; BA; Florida State University; JD,2007,1966-08-20
Barry Moore,Barry Moore,Barry Moore,Republican,Enterprise State Community College; AS; Auburn University; BS,2021,1966-09-26
Debbie Wasserman Schultz,Debbie Wasserman Schultz,Debbie Wasserman Schultz,Democratic,University of Florida; BA; MA,2005,1966-09-27
David Kustoff,David Kustoff,David Kustoff,Republican,University of Memphis; BA; JD,2017,1966-10-08
Susie Lee,Susie Lee,Susie Lee,Democratic,Carnegie Mellon University; BA; MS,2019,1966-11-07
Drew Ferguson,Drew Ferguson,Drew Ferguson,Republican,University of Georgia; BS; Augusta University; DMD,2017,1966-11-15
Christopher L. Jacobs,Chris Jacobs,Chris Jacobs,Republican,Boston College; BA; American University; MA; University at Buffalo; JD,2020,1966-11-28
Ronny Jackson,Ronny Jackson,Ronny Jackson,Republican,Texas A&M University; BS; University of Texas Medical Branch; MD,2021,1967-05-04
Chrissy Houlahan,Chrissy Houlahan,Chrissy Houlahan,Democratic,Stanford University; BS; Massachusetts Institute of Technology; MS,2019,1967-06-05
Vicente Gonzalez,Vicente Gonzalez,Vicente Gonzalez,Democratic,Embry–Riddle Aeronautical University; BA; Texas Wesleyan University; JD,2017,1967-09-04
Bruce Westerman,Bruce Westerman,Bruce Westerman,Republican,University of Arkansas; BS; Yale University; MS,2015,1967-11-18
Pat Fallon,Pat Fallon,Pat Fallon,Republican,University of Notre Dame; BA,2021,1967-12-19
Troy Nehls,Troy Nehls,Troy Nehls,Republican,Liberty University; BA; University of Houston–Downtown; MA,2021,1968-04-07
Jennifer Wexton,Jennifer Wexton,Jennifer Wexton,Democratic,"University of Maryland, College Park; BA; College of William and Mary; JD",2019,1968-05-27
Darin LaHood,Darin LaHood,Darin LaHood,Republican,"Loras College; BA; John Marshall Law School, Chicago; JD",2015,1968-07-05
Kim Schrier,Kim Schrier,Kim Schrier,Democratic,"University of California, Berkeley; BS; University of California, Davis; MD",2019,1968-08-23
Randy Feenstra,Randy Feenstra,Randy Feenstra,Republican,Dordt University; BA; Iowa State University; MPA,2021,1969-01-14
Dean Phillips,Dean Phillips,Dean Phillips,Democratic,Brown University; BA; University of Minnesota; MBA,2019,1969-01-20
Linda Sánchez,Linda Sánchez,Linda Sánchez,Democratic,"University of California, Berkeley; BA; University of California, Los Angeles; JD",2003,1969-01-28
Bill Huizenga,Bill Huizenga,Bill Huizenga,Republican,Calvin College; BA,2011,1969-01-31
Ted Lieu,Ted Lieu,Ted Lieu,Democratic,Stanford University; BA; BS; Georgetown University; JD,2015,1969-03-29
Frank J. Mrvan,Frank J. Mrvan,Frank J. Mrvan,Democratic,Ball State University; BS,2021,1969-04-16
Cathy McMorris Rodgers,Cathy McMorris Rodgers,Cathy McMorris Rodgers,Republican,Pensacola Christian College; BA; University of Washington; MBA,2005,1969-05-22
Veronica Escobar,Veronica Escobar,Veronica Escobar,Democratic,"University of Texas, El Paso; BA; New York University; MA",2019,1969-09-15
Jimmy Panetta,Jimmy Panetta,Jimmy Panetta,Democratic,"Monterey Peninsula College; University of California, Davis; BA; Santa Clara University; JD",2017,1969-10-01
Austin Scott,Austin Scott,Austin Scott,Republican,University of Georgia; BA,2011,1969-12-10
Rodney Davis,Rodney Davis,Rodney Davis,Republican,Millikin University; BA,2013,1970-01-05
Michael Patrick Guest,Michael Guest,Michael Guest,Republican,Mississippi State University; BS; University of Mississippi; JD,2019,1970-02-04
Steven Palazzo,Steven Palazzo,Steven Palazzo,Republican,University of Southern Mississippi; BA; MPA,2011,1970-02-21
Warren Davidson,Warren Davidson,Warren Davidson,Republican,United States Military Academy; BS; University of Notre Dame; MBA,2016,1970-03-01
Greg Stanton,Greg Stanton,Greg Stanton,Democratic,Marquette University; BA; University of Michigan; JD,2019,1970-03-08
Carolyn Bourdeaux,Carolyn Bourdeaux,Carolyn Bourdeaux,Democratic,Yale University; BA; University of Southern California; MPA; Syracuse University; DPA,2021,1970-06-03
Hakeem S. Jeffries,Hakeem Jeffries,Hakeem Jeffries,Democratic,Binghamton University; BA; Georgetown University; MPP; New York University; JD,2013,1970-08-04
Jay Obernolte,Jay Obernolte,Jay Obernolte,Republican,"California Institute of Technology; BS; University of California, Los Angeles; MS",2021,1970-08-18
Beth Van Duyne,Beth Van Duyne,Beth Van Duyne,Republican,Cornell University; BA,2021,1970-11-16
Adrian Smith,Adrian Smith,Adrian Smith,Republican,Liberty University; University of Nebraska–Lincoln; BA,2007,1970-12-19
Marc Veasey,Marc Veasey,Marc Veasey,Democratic,Texas Wesleyan University; BA,2013,1971-01-03
Thomas Massie,Thomas Massie,Thomas Massie,Republican,Massachusetts Institute of Technology; BS; MS,2012,1971-01-13
Alex Mooney,Alex Mooney,Alex Mooney,Republican,Dartmouth College; BA,2015,1971-06-07
Ted Budd,Ted Budd,Ted Budd,Republican,Appalachian State University; BS; Dallas Theological Seminary; MA; Wake Forest University; MBA,2017,1971-10-21
Richard Hudson,Richard Hudson,Richard Hudson,Republican,University of North Carolina at Charlotte; BA,2013,1971-11-04
Tom Reed,Tom Reed,Tom Reed,Republican,Alfred University; BA; Ohio Northern University; JD,2010,1971-11-18
Sean Casten,Sean Casten,Sean Casten,Democratic,Middlebury College; BA; Dartmouth College; MSEM; MS,2019,1971-11-23
Mikie Sherrill,Mikie Sherrill,Mikie Sherrill,Democratic,United States Naval Academy; BS; London School of Economics; MSc; Georgetown University; JD,2019,1972-01-19
Mike Johnson,Mike Johnson,Mike Johnson,Republican,Louisiana State University; BA; JD,2017,1972-01-30
Garret Graves,Garret Graves,Garret Graves,Republican,University of Alabama; Louisiana Tech University; American University,2015,1972-01-31
Angie Craig,Angie Craig,Angie Craig,Democratic,University of Memphis; BA,2019,1972-02-14
David Cheston Rouzer,David Rouzer,David Rouzer,Republican,North Carolina State University; BS,2015,1972-02-16
Ben Cline,Ben Cline,Ben Cline,Republican,Bates College; BA; University of Richmond; JD,2019,1972-02-29
Jodey Arrington,Jodey Arrington,Jodey Arrington,Republican,Texas Tech University; BA; MPA,2017,1972-03-09
Nicholas Van Taylor,Nicholas Van Taylor,Nicholas Van Taylor,Republican,Harvard University; BA; MBA,2019,1972-08-01
Chip Roy,Chip Roy,Chip Roy,Republican,"University of Virginia; BS; MS; University of Texas, Austin; JD",2019,1972-08-07
James Comer,James Comer,James Comer,Republican,Western Kentucky University; BS,2016,1972-08-19
Raul Ruiz,Raul Ruiz,Raul Ruiz,Democratic,"University of California, Los Angeles; BS; Harvard University; MD; MPP; MPH",2013,1972-08-25
Jahana Hayes,Jahana Hayes,Jahana Hayes,Democratic,Naugatuck Valley Community College; Southern Connecticut State University; BA; University of Saint Joseph; MA; University of Bridgeport; SYC,2019,1973-03-08
Steven Horsford,Steven Horsford,Steven Horsford,Democratic,"University of Nevada, Reno; BA",2019,1973-04-29
Tim Ryan,Tim Ryan,Tim Ryan,Democratic,"Youngstown State University; Bowling Green State University; BA; University of New Hampshire, Concord; JD",2003,1973-07-16
Raja Krishnamoorthi,Raja Krishnamoorthi,Raja Krishnamoorthi,Democratic,Princeton University; BS; Harvard University; JD,2017,1973-07-19
Andy Barr,Andy Barr,Andy Barr,Republican,University of Virginia; BA; University of Kentucky; JD,2013,1973-07-24
Devin Nunes,Devin Nunes,Devin Nunes,Republican,College of the Sequoias; California Polytechnic State University; BS; MS,2003,1973-10-01
Lori Trahan,Lori Trahan,Lori Trahan,Democratic,Georgetown University; BA,2019,1973-10-27
Stephanie Bice,Stephanie Bice,Stephanie Bice,Republican,"Oklahoma State University, Stillwater; BS",2021,1973-11-11
Brian Fitzpatrick,Brian Fitzpatrick,Brian Fitzpatrick,Republican,"La Salle University; BS; Pennsylvania State University; MBA; Pennsylvania State University, Carlisle; JD",2017,1973-12-17
Derek Kilmer,Derek Kilmer,Derek Kilmer,Democratic,Princeton University; BA; University of Oxford; MA; PhD,2013,1974-01-01
Katie Porter,Katie Porter,Katie Porter,Democratic,Yale University; BA; Harvard University; JD,2019,1974-01-03
Michael Waltz,Michael Waltz,Michael Waltz,Republican,Virginia Military Institute; BS,2019,1974-01-31
Ayanna Pressley,Ayanna Pressley,Ayanna Pressley,Democratic,Boston University,2019,1974-02-03
Kai Kahele,Kai Kahele,Kai Kahele,Democratic,University of Hawai'i at Mānoa; BA,2021,1974-03-28
Marjorie Taylor Greene,Marjorie Taylor Greene,Marjorie Taylor Greene,Republican,University of Georgia; BBA,2021,1974-08-27
Joaquin Castro,Joaquin Castro,Joaquin Castro,Democratic,Stanford University; BA; Harvard University; JD,2013,1974-09-16
André Carson,André Carson,André Carson,Democratic,Concordia University Wisconsin; BA; Indiana Wesleyan University; MS,2008,1974-10-16
Jimmy Gomez,Jimmy Gomez,Jimmy Gomez,Democratic,"University of California, Los Angeles; BA; Harvard University; MPP",2017,1974-11-25
Lizzie Pannill Fletcher,Lizzie Pannill Fletcher,Lizzie Fletcher,Democratic,Kenyon College; BA; College of William and Mary; JD,2019,1975-02-13
Josh Gottheimer,Josh Gottheimer,Josh Gottheimer,Democratic,"University of Pennsylvania; BA; Pembroke College, Oxford; Harvard University; JD",2017,1975-03-08
Michael Cloud,Michael Cloud,Michael Cloud,Republican,Oral Roberts University; BS,2018,1975-05-13
Elaine Luria,Elaine Luria,Elaine Luria,Democratic,United States Naval Academy; BS; Old Dominion University; MS,2019,1975-08-15
Grace Meng,Grace Meng,Grace Meng,Democratic,University of Michigan; BA; Yeshiva University; JD,2013,1975-10-01
Patrick T. McHenry,Patrick McHenry,Patrick McHenry,Republican,North Carolina State University; Belmont Abbey College; BA,2005,1975-10-22
Jamaal Bowman,Jamaal Bowman,Jamaal Bowman,Democratic,University of New Haven; BA; Mercy College; MA; Manhattanville College; EdD,2021,1976-04-01
Michael Garcia,Mike Garcia,Mike Garcia,Republican,United States Naval Academy; BS; Georgetown University; MA,2020,1976-04-24
Elissa Slotkin,Elissa Slotkin,Elissa Slotkin,Democratic,Cornell University; BA; Columbia University; MA,2019,1976-07-10
Cori Bush,Cori Bush,Cori Bush,Democratic,Lutheran School of Nursing; GrDip,2021,1976-07-21
Rashida Tlaib,Rashida Tlaib,Rashida Tlaib,Democratic,Wayne State University; BA; Thomas M. Cooley Law School; JD,2019,1976-07-24
Ro Khanna,Ro Khanna,Ro Khanna,Democratic,University of Chicago; BA; Yale University; JD,2017,1976-09-13
Nanette Barragán,Nanette Barragán,Nanette Barragán,Democratic,"University of California, Los Angeles; BA; University of Southern California; JD",2017,1976-09-15
Dusty Johnson,Dusty Johnson,Dusty Johnson,Republican,University of South Dakota; BA; University of Kansas; MPA,2019,1976-09-30
Kelly Armstrong,Kelly Armstrong,Kelly Armstrong,Republican,University of North Dakota; BA; JD,2019,1976-10-08
Tracey Mann,Tracey Mann,Tracey Mann,Republican,Kansas State University; BS,2021,1976-12-17
Antonio Delgado,Antonio Delgado,Antonio Delgado,Democratic,"Colgate University; BA; Queen's College, Oxford; Harvard University; JD",2019,1977-01-28
Brendan Boyle,Brendan Boyle,Brendan Boyle,Democratic,University of Notre Dame; BA; Harvard University; MPP,2015,1977-02-06
David Valadao,David Valadao,David Valadao,Republican,College of the Sequoias,2021,1977-04-14
Markwayne Mullin,Markwayne Mullin,Markwayne Mullin,Republican,"Missouri Valley College; Oklahoma State University, Okmulgee",2013,1977-07-26
Nancy Mace,Nancy Mace,Nancy Mace,Republican,The Citadel; BS; University of Georgia; MS,2021,1977-12-04
Darren Soto,Darren Soto,Darren Soto,Democratic,Rutgers University–New Brunswick; BA; George Washington University; JD,2017,1978-02-25
Adam Kinzinger,Adam Kinzinger,Adam Kinzinger,Republican,Illinois State University; BA,2011,1978-02-27
W. Greg Steube,Greg Steube,Greg Steube,Republican,University of Florida; BS; JD,2019,1978-05-19
Nikema Williams,Nikema Williams,Nikema Williams,Democratic,Talladega College; BA,2021,1978-07-30
Stephanie Murphy,Stephanie Murphy,Stephanie Murphy,Democratic,College of William & Mary; BA; Georgetown University; MS,2017,1978-09-16
Victoria Spartz,Victoria Spartz,Victoria Spartz,Republican,"Kyiv National Economic University; BS; MBA; Indiana University, Indianapolis; MAcc",2021,1978-10-06
Mike Levin,Mike Levin,Mike Levin,Democratic,Stanford University; BA; Duke University; JD,2019,1978-10-20
Seth Moulton,Seth Moulton,Seth Moulton,Democratic,Harvard University; BS; MBA; MPP,2015,1978-10-24
Byron Donalds,Byron Donalds,Byron Donalds,Republican,Florida State University; BS,2021,1978-10-26
Jaime Herrera Beutler,Jaime Herrera Beutler,Jaime Herrera Beutler,Republican,Bellevue College; University of Washington; BA,2011,1978-11-03
August Pfluger,August Pfluger,August Pfluger,Republican,United States Air Force Academy; BS; Embry–Riddle Aeronautical University; MS; Air University; MS; Georgetown University; MS,2021,1978-12-28
Jason Crow,Jason Crow,Jason Crow,Democratic,"University of Wisconsin, Madison; BA; University of Denver; JD",2019,1979-03-15
Pete Aguilar,Pete Aguilar,Pete Aguilar,Democratic,University of Redlands; BS,2015,1979-06-19
James E. Banks,Jim Banks,Jim Banks,Republican,Indiana University Bloomington; BA; Grace College & Seminary; MBA,2017,1979-07-16
Abigail Spanberger,Abigail Spanberger,Abigail Spanberger,Democratic,University of Virginia; BA; Purdue University; MBA,2019,1979-08-07
Ruben Gallego,Ruben Gallego,Ruben Gallego,Democratic,Harvard University; BA,2015,1979-11-20
Lee Zeldin,Lee Zeldin,Lee Zeldin,Republican,"University at Albany, SUNY; BA; Union University, New York; JD",2015,1980-01-30
Sharice Davids,Sharice Davids,Sharice Davids,Democratic,Haskell Indian Nations University; University of Kansas; Johnson County Community College; University of Missouri–Kansas City; BA; Cornell University; JD,2019,1980-05-22
Chris Pappas,Chris Pappas,Chris Pappas,Democratic,Harvard University; BA,2019,1980-06-04
Jason Smith,Jason Smith,Jason T. Smith,Republican,University of Missouri; BS; Oklahoma City University; JD,2013,1980-06-16
Blake Moore,Blake Moore,Blake Moore,Republican,University of Utah; BA; Northwestern University; MS,2021,1980-06-22
Brian Mast,Brian Mast,Brian Mast,Republican,Palm Beach Atlantic University; American Military University; Harvard University; BLA,2017,1980-07-10
Tony Gonzales,Tony Gonzales,Tony Gonzales,Republican,Chaminade University; AA; Excelsior College; BS; American Public University; MA,2021,1980-10-10
Nicole Malliotakis,Nicole Malliotakis,Nicole Malliotakis,Republican,Seton Hall University; BA; Wagner College; MBA,2021,1980-11-11
Eric Swalwell,Eric Swalwell,Eric Swalwell,Democratic,"Campbell University; University of Maryland, College Park; BA; University of Maryland, Baltimore; JD",2013,1980-11-16
Bryan Steil,Bryan Steil,Bryan Steil,Republican,Georgetown University; BS; University of Wisconsin–Madison; JD,2019,1981-03-03
Julia Letlow,Julia Letlow,Julia Letlow,Republican,University of Louisiana at Monroe; BA; MA; University of South Florida; PhD,2021,1981-03-16
Matt Gaetz,Matt Gaetz,Matt Gaetz,Republican,Florida State University; BS; College of William & Mary; JD,2017,1982-05-07
Andy Kim,Andy Kim,Andy Kim,Democratic,"Deep Springs College; University of Chicago; BA; Magdalen College, Oxford; MPhil; DPhil",2019,1982-07-12
Jared Golden,Jared Golden,Jared Golden,Democratic,"University of Maine, Farmington; Bates College; BA",2019,1982-07-25
Ilhan Omar,Ilhan Omar,Ilhan Omar,Democratic,North Dakota State University; BA,2019,1982-10-04
Lance Gooden,Lance Gooden,Lance Gooden,Republican,"University of Texas, Austin; BA; BBA",2019,1982-12-01
Colin Allred,Colin Allred,Colin Allred,Democratic,"Baylor University; BA; University of California, Berkeley; JD",2019,1983-04-15
Guy Reschenthaler,Guy Reschenthaler,Guy Reschenthaler,Republican,"Pennsylvania State University, Behrend; BA; Duquesne University; JD",2019,1983-04-17
Haley Stevens,Haley Stevens,Haley Stevens,Democratic,American University; BA; MA,2019,1983-06-24
Ashley Hinson,Ashley Hinson,Ashley Hinson,Republican,University of Southern California; BA,2021,1983-06-27
Trey Hollingsworth,Trey Hollingsworth,Trey Hollingsworth,Republican,University of Pennsylvania; BS; Georgetown University; MPP,2017,1983-09-12
Michael John Gallagher,Mike Gallagher,Mike Gallagher,Republican,Princeton University; BA; National Intelligence University; MS; Georgetown University; MA; MS; PhD,2017,1984-03-03
Daniel Crenshaw,Dan Crenshaw,Dan Crenshaw,Republican,Tufts University; BA; Harvard University; MPA,2019,1984-03-14
William R. Timmons,William Timmons,William Timmons,Republican,George Washington University; BA; University of South Carolina; MA; JD,2019,1984-04-30
Joe Neguse,Joe Neguse,Joe Neguse,Democratic,"University of Colorado, Boulder; BA; JD",2019,1984-05-13
Conor Lamb,Conor Lamb,Conor Lamb,Democratic,University of Pennsylvania; BA; JD,2018,1984-06-27
Elise Stefanik,Elise Stefanik,Elise Stefanik,Republican,Harvard University; BA,2015,1984-07-02
Anthony E. Gonzalez,Anthony Gonzalez,Anthony Gonzalez,Republican,Ohio State University; BA; Stanford University; MBA,2019,1984-09-18
Andrew Garbarino,Andrew Garbarino,Andrew Garbarino,Republican,George Washington University; BA; Hofstra University; JD,2021,1984-09-27
Josh Harder,Josh Harder,Josh Harder,Democratic,Stanford University; BA; Harvard University; MBA; MPP,2019,1986-08-01
Lauren Underwood,Lauren Underwood,Lauren Underwood,Democratic,University of Michigan; BSN; Johns Hopkins University; MSN; MPH,2019,1986-10-04
Lauren Boebert,Lauren Boebert,Lauren Boebert,Republican,,2021,1986-12-15
Mondaire Jones,Mondaire Jones,Mondaire Jones,Democratic,Stanford University; BA; Harvard University; JD,2021,1987-05-18
Peter Meijer,Peter Meijer,Peter Meijer,Republican,United States Military Academy; Columbia University; BA; New York University; MBA,2021,1988-01-10
Jake Auchincloss,Jake Auchincloss,Jake Auchincloss,Democratic,Harvard University; BA; Massachusetts Institute of Technology; MBA,2021,1988-01-29
Kat Cammack,Kat Cammack,Kat Cammack,Republican,Metropolitan State University of Denver; BA; Naval War College; MS,2021,1988-02-16
Jake LaTurner,Jake LaTurner,Jake LaTurner,Republican,Pittsburg State University; BA,2021,1988-02-17
Ritchie Torres,Ritchie Torres,Ritchie Torres,Democratic,New York University,2021,1988-03-12
Sara Jacobs,Sara Jacobs,Sara Jacobs,Democratic,Columbia University; BA; MIA,2021,1989-02-01
Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez,Democratic,Boston University; BA,2019,1989-10-13
Madison Cawthorn,Madison Cawthorn,Madison Cawthorn,Republican,Patrick Henry College,2021,1995-08-01
