,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
2019-12-02,-0.008588,-0.00862,-0.008306,-0.008362,26829950300,505,27063281400,505,3113.87,-0.008631
2019-12-03,-0.006563,-0.006595,-0.008242,-0.008301,26653014700,505,26829950300,505,3093.2,-0.006638
2019-12-04,0.006336,0.006233,0.0078,0.007729,26819640300,505,26653014700,505,3112.76,0.006324
2019-12-05,0.001732,0.001427,0.001703,0.001449,26870497000,505,26823599100,505,3117.43,0.0015
2019-12-06,0.009108,0.009062,0.009213,0.009175,27113952600,505,26870497000,505,3145.91,0.009136
2019-12-09,-0.003052,-0.003133,-0.002454,-0.002577,27012617900,505,27097524500,505,3135.96,-0.003163
2019-12-10,-0.001121,-0.001155,-0.00124,-0.001328,26981800800,505,27012617900,505,3132.52,-0.001097
2019-12-11,0.00293,0.00292,0.002603,0.002591,27060491200,505,26981800800,505,3141.63,0.002908
2019-12-12,0.008631,0.008492,0.010665,0.010398,27290282400,505,27060491200,505,3168.57,0.008575
2019-12-13,0.000214,0.000045,-0.002659,-0.002861,27291676700,505,27290282400,505,3168.8,0.000073
2019-12-16,0.007038,0.006997,0.006493,0.006429,27482237400,505,27291676700,505,3191.45,0.007148
2019-12-17,0.000398,0.000391,0.000407,0.000382,27492988100,505,27482237400,505,3192.52,0.000335
2019-12-18,-0.000345,-0.000427,0.001461,0.001411,27481249000,505,27492988100,505,3191.14,-0.000432
2019-12-19,0.004534,0.00447,0.003453,0.003324,27604096800,505,27481249000,505,3205.37,0.004459
2019-12-20,0.004896,0.004846,0.00575,0.005728,27737871200,505,27604096800,505,3221.22,0.004945
2019-12-23,0.000897,0.000897,0.000388,0.000388,27792669000,505,27767758100,505,3224.01,0.000866
2019-12-24,-0.000132,-0.000202,0.000243,0.000177,27787054300,505,27792669000,505,3223.38,-0.000195
2019-12-26,0.005385,0.005296,0.002328,0.002241,27934225500,505,27787054300,505,3239.91,0.005128
2019-12-27,0.000028,-0.000062,-0.00083,-0.001018,27911812000,505,27934225500,505,3240.02,0.000034
2019-12-30,-0.005631,-0.005763,-0.004008,-0.004245,27750952400,505,27911812000,505,3221.29,-0.005781
2019-12-31,0.002954,0.002891,0.004,0.003817,27851725900,505,27750952400,505,3230.78,0.002946
2020-01-02,0.00857,0.008448,0.002739,0.002659,28086734600,505,27851725900,505,3257.85,0.008379
2020-01-03,-0.00695,-0.00705,-0.005536,-0.005549,27888553100,505,28086734600,505,3234.85,-0.00706
2020-01-06,0.003566,0.003563,0.001287,0.001283,27987926700,505,27888553100,505,3246.28,0.003533
2020-01-07,-0.002669,-0.002768,-0.001031,-0.00115,27910445600,505,27987926700,505,3237.18,-0.002803
2020-01-08,0.004827,0.004783,0.002815,0.0028,28043946400,505,27910445600,505,3253.05,0.004902
2020-01-09,0.006939,0.006685,0.004566,0.004448,28231434200,505,28043946400,505,3274.7,0.006655
2020-01-10,-0.002841,-0.002845,-0.002888,-0.002898,28151037900,505,28231434200,505,3265.35,-0.002855
2020-01-13,0.006957,0.006954,0.006405,0.006396,28346813500,505,28151037900,505,3288.13,0.006976
2020-01-14,-0.001388,-0.00148,0.001809,0.001746,28304866300,505,28346813500,505,3283.15,-0.001515
2020-01-15,0.001782,0.001763,0.001627,0.00162,28354779300,505,28304866300,505,3289.29,0.00187
2020-01-16,0.008459,0.008422,0.009479,0.009443,28593569500,505,28354779300,505,3316.81,0.008367
2020-01-17,0.003742,0.003722,0.002167,0.002153,28696456600,505,28593569500,505,3329.62,0.003862
2020-01-21,-0.002617,-0.002635,-0.004783,-0.004807,28620843400,505,28696456600,505,3320.79,-0.002652
2020-01-22,0.000322,0.000287,-0.001169,-0.001194,28628614800,505,28620843400,505,3321.75,0.000289
2020-01-23,0.00119,0.001121,0.0023,0.002264,28660398800,505,28628614800,505,3325.54,0.001141
2020-01-24,-0.009072,-0.009099,-0.01073,-0.010786,28380997800,505,28642788000,504,3295.47,-0.009042
2020-01-27,-0.015637,-0.015637,-0.016037,-0.016037,27935740100,505,28380997800,504,3243.63,-0.015731
2020-01-28,0.010117,0.010098,0.008886,0.008844,28236327300,505,27953991500,505,3276.24,0.010054
2020-01-29,-0.000904,-0.000925,-0.003525,-0.003561,28210207400,505,28236327300,505,3273.4,-0.000867
2020-01-30,0.003377,0.003226,0.002176,0.002,28300805700,505,28210207400,505,3283.66,0.003134
2020-01-31,-0.017209,-0.017292,-0.01925,-0.019358,27795610600,505,28300805700,505,3225.52,-0.017706
2020-02-03,0.007296,0.007022,0.006261,0.005407,27990801400,505,27795610600,505,3248.92,0.007255
2020-02-04,0.014994,0.01499,0.014684,0.014671,28410209800,505,27990801400,505,3297.59,0.01498
2020-02-05,0.011113,0.011094,0.015394,0.015381,28725392700,505,28410209800,505,3334.69,0.011251
2020-02-06,0.003467,0.003301,-0.000827,-0.000935,28819813000,505,28725392700,505,3345.78,0.003326
2020-02-07,-0.005025,-0.005221,-0.008161,-0.008272,28668411200,505,28819813000,505,3327.71,-0.005401
2020-02-10,0.007484,0.007339,0.004199,0.004125,28878766000,505,28668411200,505,3352.09,0.007326
2020-02-11,0.002015,0.001977,0.006165,0.00611,28935949000,505,28878766000,505,3357.75,0.001688
2020-02-12,0.006558,0.006526,0.007149,0.007061,29125390300,505,28935949000,505,3379.45,0.006463
2020-02-13,-0.001323,-0.001639,-0.001715,-0.002047,29077550200,505,29125390300,505,3373.94,-0.00163
2020-02-14,0.001932,0.001773,0.000612,0.000428,29129047900,505,29077550200,505,3380.16,0.001844
2020-02-18,-0.002658,-0.00272,-0.003634,-0.003724,29049590600,505,29129047900,505,3370.29,-0.00292
2020-02-19,0.004782,0.004617,0.003626,0.00356,29183024500,505,29049590600,505,3386.15,0.004706
2020-02-20,-0.003852,-0.0039,0.000086,-0.000048,29069364600,505,29183024500,505,3373.23,-0.003816
2020-02-21,-0.010591,-0.010626,-0.008999,-0.009112,28760627200,505,29069364600,505,3337.75,-0.010518
2020-02-24,-0.033359,-0.03348,-0.031205,-0.031267,27797404100,505,28760627200,505,3225.89,-0.033514
2020-02-25,-0.030269,-0.030289,-0.034182,-0.034219,26955420800,505,27797404100,505,3128.21,-0.03028
2020-02-26,-0.003772,-0.003779,-0.010829,-0.010852,26853574200,505,26955420800,505,3116.39,-0.003779
2020-02-27,-0.043781,-0.043973,-0.039631,-0.039883,25672762000,505,26853574200,505,2978.76,-0.044163
2020-02-28,-0.008242,-0.008407,-0.011439,-0.011682,25423196300,505,25672762000,505,2954.22,-0.008238
2020-03-02,0.045959,0.045934,0.037869,0.037797,26584179300,505,25423196300,505,3090.23,0.046039
2020-03-03,-0.028014,-0.028047,-0.025578,-0.025687,25841879600,505,26587568300,505,3003.37,-0.028108
2020-03-04,0.04215,0.042092,0.037432,0.037357,26929577000,505,25841879600,505,3130.12,0.042203
2020-03-05,-0.03363,-0.033837,-0.037775,-0.038014,26018364400,505,26929577000,505,3023.94,-0.033922
2020-03-06,-0.016819,-0.016852,-0.02128,-0.021378,25579690400,505,26018364400,505,2972.37,-0.017054
2020-03-09,-0.075275,-0.075376,-0.090032,-0.090245,23651559100,505,25579690400,505,2746.56,-0.07597
2020-03-10,0.049281,0.049253,0.049157,0.04905,24816666300,505,23651559100,505,2882.23,0.049396
2020-03-11,-0.048751,-0.048817,-0.056952,-0.056965,23604871700,505,24816666300,505,2741.38,-0.048868
2020-03-12,-0.095036,-0.095239,-0.104583,-0.105029,21356545100,505,23604871700,505,2480.64,-0.095113
2020-03-13,0.093205,0.09287,0.08418,0.083827,23339952200,505,21356545100,505,2711.02,0.092871
2020-03-16,-0.11897,-0.119008,-0.126864,-0.12696,20562636900,505,23339952200,505,2386.13,-0.119841
2020-03-17,0.060242,0.060195,0.049913,0.049754,21800418400,505,20562636900,505,2529.19,0.059955
2020-03-18,-0.050477,-0.050483,-0.077413,-0.077431,20699859200,505,21800418400,505,2398.1,-0.051831
2020-03-19,0.00467,0.004561,0.021055,0.020993,20794274600,505,20699859200,505,2409.39,0.004708
2020-03-20,-0.043187,-0.043348,-0.041231,-0.041318,19892596300,505,20794274600,505,2304.92,-0.04336
2020-03-23,-0.028576,-0.028579,-0.035576,-0.035617,19323811000,505,19892596300,505,2237.4,-0.029294
2020-03-24,0.092646,0.092545,0.117414,0.117279,21111440000,505,19323811000,505,2447.33,0.093828
2020-03-25,0.010971,0.010967,0.031544,0.03153,21342958100,505,21111440000,505,2475.56,0.011535
2020-03-26,0.062088,0.062042,0.060332,0.06027,22666909800,505,21342958100,505,2630.07,0.062414
2020-03-27,-0.033559,-0.033561,-0.036711,-0.036736,21888176300,505,22666909800,505,2541.47,-0.033687
2020-03-30,0.03355,0.033381,0.021276,0.020934,22618764600,505,21888176300,505,2626.65,0.033516
2020-03-31,-0.015948,-0.016046,-0.017209,-0.017359,22241555400,505,22618764600,505,2584.59,-0.016013
2020-04-01,-0.043645,-0.043651,-0.054269,-0.054326,21302507000,505,22241555400,505,2470.5,-0.044142
2020-04-02,0.022726,0.022564,0.013041,0.012913,21783179400,505,21302507000,505,2526.9,0.022829
2020-04-03,-0.014551,-0.014679,-0.014673,-0.014697,21425974900,507,21781173300,506,2488.65,-0.015137
2020-04-06,0.070015,0.070005,0.082786,0.082764,22925207200,505,21424485500,505,2663.68,0.070331
2020-04-07,-0.001661,-0.001677,0.013,0.012913,22897339000,505,22925207200,505,2659.41,-0.001603
2020-04-08,0.033801,0.033551,0.046256,0.046141,23665586200,505,22897339000,505,2749.98,0.034056
2020-04-09,0.014454,0.014328,0.026058,0.025984,24004681100,505,23665586200,505,2789.82,0.014487
2020-04-13,-0.009366,-0.009386,-0.023941,-0.02395,23779142000,505,24004681100,505,2761.63,-0.010105
2020-04-14,0.030843,0.030725,0.023924,0.023856,24509534300,505,23779142000,505,2846.06,0.030573
2020-04-15,-0.021556,-0.021615,-0.035625,-0.035683,23979916800,505,24509534300,505,2783.36,-0.02203
2020-04-16,0.00619,0.006184,-0.006471,-0.006488,24138711700,505,23979916800,505,2799.55,0.005817
2020-04-17,0.026322,0.026283,0.044872,0.044842,24774975600,505,24138711700,505,2874.56,0.026794
2020-04-20,-0.017771,-0.017773,-0.022523,-0.022529,24334658500,505,24774975600,505,2823.16,-0.017881
2020-04-21,-0.030447,-0.03047,-0.028327,-0.028356,23580215100,505,24334658500,505,2736.56,-0.030675
2020-04-22,0.022846,0.022818,0.018489,0.018473,24116723800,505,23580215100,505,2799.31,0.02293
2020-04-23,-0.000388,-0.000469,0.00424,0.004227,24104841900,505,24116723800,505,2797.8,-0.000539
2020-04-24,0.013758,0.013737,0.013927,0.01381,24432539100,505,24104841900,505,2836.74,0.013918
2020-04-27,0.014428,0.014411,0.028531,0.0285,24783968400,505,24432539100,505,2878.48,0.014714
2020-04-28,-0.005305,-0.005312,0.013825,0.01379,24652254000,505,24783968400,505,2863.39,-0.005242
2020-04-29,0.026208,0.026168,0.033551,0.03346,25297345600,505,24652254000,505,2939.51,0.026584
2020-04-30,-0.008936,-0.008969,-0.024609,-0.024709,25092774000,505,25297345600,505,2912.43,-0.009212
2020-05-01,-0.027987,-0.028094,-0.035072,-0.035185,24386913100,505,25092774000,505,2830.71,-0.028059
2020-05-04,0.004454,0.004449,0.001008,0.000999,24494858800,505,24386913100,505,2842.74,0.00425
2020-05-05,0.009042,0.009042,0.004372,0.004372,24716330200,505,24494858800,505,2868.44,0.009041
2020-05-06,-0.006842,-0.006916,-0.014281,-0.01433,24545345800,505,24716330200,505,2848.42,-0.006979
2020-05-07,0.01207,0.011688,0.017342,0.017081,24832306000,505,24545345800,505,2881.19,0.011505
2020-05-08,0.017096,0.016904,0.027897,0.027661,25252276200,505,24832306000,505,2929.8,0.016872
2020-05-11,0.000148,0.00014,-0.011579,-0.011597,25192146700,505,25188617000,504,2930.32,0.000177
2020-05-12,-0.020425,-0.020587,-0.026156,-0.026233,24724015400,505,25243686400,505,2870.12,-0.020544
2020-05-13,-0.017138,-0.017206,-0.02909,-0.029216,24298624400,505,24724015400,505,2820,-0.017463
2020-05-14,0.011669,0.011461,0.015212,0.01492,24577197600,505,24298624400,505,2852.5,0.011525
2020-05-15,0.00427,0.004165,0.001507,0.001367,24679562000,505,24577197600,505,2863.7,0.003926
2020-05-18,0.031482,0.03137,0.055191,0.055082,25453833000,505,24679562000,505,2953.91,0.031501
2020-05-19,-0.010403,-0.010493,-0.014193,-0.014351,25186744500,505,25453833000,505,2922.94,-0.010484
2020-05-20,0.016702,0.016523,0.01886,0.018776,25602921000,505,25186744500,505,2971.61,0.016651
2020-05-21,-0.007929,-0.007995,-0.00425,-0.004349,25398224900,505,25602921000,505,2948.51,-0.007774
2020-05-22,0.002457,0.002293,0.001097,0.000935,25469978300,505,25411699900,505,2955.45,0.002354
2020-05-26,0.012164,0.012146,0.032618,0.032564,25779357800,505,25469978300,505,2991.77,0.012289
2020-05-27,0.014605,0.014587,0.025094,0.025039,26155408700,505,25779357800,505,3036.13,0.014827
2020-05-28,-0.001863,-0.001984,-0.008671,-0.008901,26103570200,505,26155408700,505,3029.73,-0.002108
2020-05-29,0.004922,0.00476,-0.001724,-0.002018,26245685700,505,26103570200,505,3044.31,0.004812
2020-06-01,0.003979,0.003935,0.01152,0.011459,26348950200,505,26245685700,505,3055.73,0.003751
2020-06-02,0.008075,0.008046,0.012226,0.012184,26560943200,505,26348950200,505,3080.82,0.008211
2020-06-03,0.013602,0.013505,0.027448,0.027397,26919642500,505,26560943200,505,3122.87,0.013649
2020-06-04,-0.003255,-0.003471,0.004514,0.004325,26826202600,505,26919642500,505,3112.35,-0.003369
2020-06-05,0.025805,0.025789,0.034703,0.034664,27518146700,505,26826202600,505,3193.93,0.026212
2020-06-08,0.012263,0.012245,0.022985,0.02296,27852275900,505,27518146700,505,3232.39,0.012042
2020-06-09,-0.007465,-0.007532,-0.023647,-0.02378,27642494300,505,27852275900,505,3207.18,-0.007799
2020-06-10,-0.005108,-0.005113,-0.022011,-0.022024,27501132300,505,27642494300,505,3190.14,-0.005313
2020-06-11,-0.058263,-0.058375,-0.067898,-0.068067,25895732500,505,27501132300,505,3002.1,-0.058944
2020-06-12,0.013059,0.012761,0.020503,0.020078,26225864700,505,25895732500,505,3041.31,0.013061
2020-06-15,0.008464,0.008428,0.010435,0.010381,26446926500,505,26225864700,505,3066.59,0.008312
2020-06-16,0.018946,0.01893,0.020181,0.020125,26947569000,505,26446926500,505,3124.74,0.018962
